100000 1000
21747 35350 70
21770 63551 133
21794 83269 26
21899 54664 171
21911 2280 110
21991 91736 116
22003 38839 75
22188 29328 135
22293 53652 138
22295 99767 93
22412 54264 55
22443 81727 12
22452 50374 10
22479 18123 25
22502 93026 91
22587 22366 142
22658 417 84
22692 44507 169
22764 37532 9
22861 62881 153
23117 81128 82
23122 92336 71
23164 87577 25
23258 15772 60
23299 79151 19
23335 13772 157
23337 67358 24
23412 96794 142
23674 57672 33
23724 90437 62
23859 61192 33
23872 50728 165
23891 66466 101
23927 92008 100
24034 50280 156
24107 69692 165
24173 66592 123
24197 87964 128
24246 12913 49
24306 29218 116
24310 16705 11
24407 24144 6
24468 26894 73
24643 78918 97
24667 79006 95
24842 42624 128
25017 88482 67
25130 53274 29
25217 77256 54
25388 3784 129
25435 71052 19
25478 8496 79
25517 89840 165
25749 32898 138
25775 80132 111
25854 69208 68
25933 1956 120
25960 64181 148
26024 50687 5
26026 10617 25
26040 9388 40
26075 94392 134
26144 69496 152
26183 31652 39
26221 8735 79
26460 8374 10
26522 8068 33
26550 55031 15
26568 75080 27
26592 29749 49
26627 83864 54
26698 14544 117
26737 33832 3
26821 96142 37
26894 775 73
26895 66053 99
27332 97466 96
27357 64350 135
27440 70912 2
27451 57966 153
27504 98444 143
27526 90214 153
27563 93536 17
27602 37487 111
27621 12485 18
27787 99148 149
27891 66849 88
28089 15896 130
28152 54942 25
28220 48688 88
28343 77791 7
28410 52514 102
28432 11452 37
28542 13836 75
28552 37446 94
28553 38090 129
28587 5804 1
28666 47586 87
28728 24162 15
28758 60678 122
28827 27145 8
28837 51360 177
28875 66804 133
28938 20319 145
28991 44479 176
29111 26446 93
29164 19069 45
29174 85074 53
29177 91960 15
29187 65245 90
29232 38055 19
29267 71675 106
29360 24284 134
29534 14356 143
29546 83522 155
29564 88264 145
29590 23034 107
29706 92192 129
29717 77743 50
29728 35476 17
29775 63776 108
29823 58304 89
29857 29016 68
29885 69092 87
29890 7498 17
30094 1566 121
30096 65909 92
30185 45568 48
30211 75850 74
30220 72918 144
30308 42984 65
30349 36930 41
30371 39123 77
30397 93337 35
30399 82255 161
30476 75377 111
30514 31592 5
30555 72832 93
30591 48032 139
30598 86661 134
30624 77040 11
30625 89993 95
30667 8720 9
30756 85206 81
30800 56126 24
30833 65904 106
30840 87460 102
30858 96851 6
30951 27518 59
30990 24471 163
31044 69983 131
31069 19227 129
31071 86126 167
31077 93250 67
31090 97321 159
31262 31206 1
31270 37008 79
31298 86988 167
31668 93910 66
31705 97946 56
31805 17307 16
31933 91065 156
32165 29046 144
32205 27934 37
32307 51486 157
32351 55670 17
32395 28012 97
32413 27296 80
32571 17212 163
32721 19270 87
32768 88586 121
32769 99672 3
32777 38944 161
32934 23068 166
33066 37702 58
33133 38866 149
33141 96580 31
33354 88026 33
33491 45652 39
33561 89841 59
33617 21022 63
33751 42570 120
33766 94916 144
33812 91724 162
33848 16439 41
33873 99848 131
33878 85941 130
33910 26128 122
33917 63596 131
33989 10688 9
34024 43292 53
34165 88326 57
34195 66930 38
34217 60028 189
34223 5128 53
34362 25160 58
34391 5743 161
34496 61952 69
34503 71789 37
34504 38509 147
34678 45022 154
34906 16732 142
34979 23302 115
34989 82734 125
35059 66382 89
35096 96040 103
35121 21150 136
35363 22011 126
35375 56514 104
35463 25924 113
35497 21396 71
35555 98025 73
35628 57250 145
35739 80384 132
35772 92639 29
35802 20829 34
35810 43970 159
35862 532 35
35914 45103 56
36094 42247 139
36146 84560 137
36229 13272 157
36286 42036 68
36393 6493 30
36426 74331 15
36428 36806 9
36451 17531 103
36592 85298 71
36757 3984 109
37061 37949 142
37109 23226 56
37202 44382 86
37213 65742 81
37422 29358 115
37435 72854 68
37458 44834 20
37548 24198 127
37618 51976 15
37759 33278 34
37847 79836 19
37858 92538 11
37910 56326 93
38049 44492 69
38126 25446 147
38241 51004 29
38282 83597 88
38353 15655 8
38507 31248 1
38600 79891 110
38754 66324 1
38776 92731 71
38992 87613 89
39001 77688 66
39016 65540 123
39099 99608 171
39184 23552 167
39237 96792 34
39587 17344 8
39617 25234 97
39632 27607 106
39751 13355 122
39869 5580 75
39938 41966 72
40006 62316 157
40032 496 68
40060 89524 58
40080 33020 97
40164 25508 20
40188 99140 8
40268 49106 23
40271 75147 133
40318 2870 13
40431 37368 143
40551 67919 37
40613 95761 48
40783 19444 41
40804 42833 31
40866 55235 41
41022 95170 156
41029 11076 26
41060 16474 118
41087 10836 63
41150 1961 43
41328 83461 53
41355 52524 123
41454 47774 14
41494 24715 139
41528 10934 69
41537 88352 79
41552 86977 40
41569 56528 51
41594 40041 68
41624 36590 122
41627 86766 50
41824 80666 168
42032 75215 118
42041 4114 45
42147 55153 51
42249 84897 9
42253 36076 137
42312 47159 75
42320 69972 147
42353 74200 101
42355 71683 126
42503 77864 148
42523 47938 95
42531 57534 56
42546 68544 78
42550 7272 84
42582 1350 61
42584 12770 154
42607 83579 104
42611 16917 21
42726 91279 95
42730 34034 115
42844 92163 77
42865 78573 23
43010 75168 165
43019 82968 131
43126 75470 2
43244 61092 25
43290 23958 67
43316 30576 140
43407 76174 157
43446 47644 130
43501 53435 122
43565 47203 87
43617 58226 169
43684 4822 31
43719 95678 127
43743 21514 84
43748 47075 108
43870 20656 74
43907 91285 102
44153 82222 169
44231 40496 64
44296 77471 17
44347 38538 109
44350 7872 119
44405 75768 145
44406 94031 37
44496 22796 128
44655 39388 31
44744 51823 102
44849 80082 72
44908 31410 44
44968 20038 40
44984 43406 107
45092 42516 21
45142 30678 94
45157 29508 126
45165 10228 119
45193 63360 101
45265 95035 118
45278 23512 68
45293 81666 165
45322 95000 59
45414 43918 146
45586 3978 127
45604 12448 113
45646 51768 154
45706 5242 44
45820 17958 13
45846 18213 103
45910 294 115
45926 25890 27
45929 32780 153
45950 75675 69
46024 93379 115
46167 84635 30
46203 91331 34
46308 62872 1
46314 62468 97
46461 66910 140
46513 29093 79
46555 79360 123
46677 27768 141
46784 24678 136
46787 91522 71
46828 69352 91
47041 98116 99
47073 59410 123
47099 2676 137
47115 38643 157
47144 48402 63
47196 90178 70
47223 10224 17
47246 8580 22
47359 25513 83
47405 8074 81
47559 99581 66
47600 42753 75
47734 33424 128
47857 70129 135
47867 51895 35
48010 56504 133
48082 72040 143
48125 19618 67
48201 28136 58
48215 45144 133
48244 59796 44
48403 84920 165
48451 20420 86
48529 31436 67
48737 52665 110
48746 40783 159
48766 75418 97
48795 76804 129
48850 46227 123
48984 98612 41
49037 33541 21
49138 68190 99
49147 59495 142
49394 66986 163
49414 49980 165
49431 86773 166
49514 33674 95
49565 91638 65
49636 67446 33
49675 88852 5
49750 18488 35
49866 20908 130
49968 39192 119
50035 30069 27
50084 35671 127
50129 67032 43
50130 64886 39
50325 8793 69
50468 72654 53
50496 49998 69
50528 96878 130
50538 18616 91
50552 84214 38
50555 91311 88
50613 8185 121
50614 36964 8
50633 20619 66
50658 15904 110
50829 56246 142
50878 91936 171
50881 76950 163
50934 46100 99
51183 83286 10
51218 12082 122
51349 296 64
51353 39068 43
51393 45336 150
51407 60289 57
51597 61499 10
51677 82950 10
51806 81443 1
51817 97617 139
51838 63081 92
51903 55266 103
51922 25517 65
51977 81474 113
52001 23848 115
52003 97517 112
52072 98594 48
52108 93148 18
52116 1196 169
52142 89556 73
52161 78491 33
52364 52733 46
52381 56839 30
52418 57114 38
52435 48628 5
52552 15109 6
52558 63534 65
52560 7736 35
52583 7606 46
52585 58956 164
52599 22020 91
52662 85682 39
52695 13478 41
52825 92779 154
52863 40732 187
52941 37454 106
53084 71572 121
53100 55985 19
53169 88988 81
53223 61719 44
53243 29897 37
53288 58333 170
53405 33550 49
53415 55488 137
53442 67148 64
53506 33299 146
53540 45475 41
53543 22496 55
53564 41358 148
53807 10814 23
53857 10654 47
53925 31950 87
54009 15828 62
54079 94809 87
54115 25602 114
54153 91012 103
54217 61328 138
54228 19979 21
54273 66651 23
54304 33742 152
54527 27152 155
54572 39686 41
54688 68065 91
54691 68150 157
54769 35991 91
54928 38346 114
55001 53366 130
55029 4910 2
55030 67478 131
55300 22570 3
55374 97580 16
55493 51552 2
55550 86535 114
55562 82354 161
55658 26996 78
55707 71542 117
55718 11498 69
55749 59148 131
55855 27524 102
55925 82324 166
56034 1285 159
56114 38736 104
56149 82183 91
56460 82553 119
56520 72434 107
56549 88470 2
56589 47561 4
56602 12064 147
56613 72490 78
56638 14073 17
56858 23842 51
56889 7888 141
57043 71054 47
57069 11329 127
57102 59794 17
57117 51656 129
57133 34342 90
57139 74136 9
57323 14822 33
57381 47993 78
57465 64520 91
57501 70983 109
57511 40322 69
57522 96212 34
57528 64236 145
57531 48683 80
57583 44760 107
57635 9036 110
57662 73460 43
57770 69836 84
57847 69568 90
57898 37343 123
57918 73270 145
57983 68890 69
57992 90542 88
58067 92603 15
58094 96936 78
58095 11165 142
58151 35580 119
58208 66820 122
58211 66056 116
58267 89102 167
58276 93952 33
58277 8262 75
58339 69725 112
58346 42844 11
58375 68524 45
58397 27423 9
58654 47740 32
58686 78174 121
58694 76095 104
58781 80795 1
58811 70239 169
58849 5811 139
58900 13328 98
58939 24553 107
58982 40379 35
58993 88948 103
59112 90980 99
59212 16555 170
59261 67125 55
59262 83316 19
59292 23812 140
59366 8865 111
59407 94558 107
59413 78670 93
59871 36276 30
59892 90895 31
59910 93812 13
60071 39338 107
60108 89541 128
60165 42162 33
60306 72513 74
60317 22520 69
60371 16770 30
60478 8404 79
60711 87744 36
60727 30584 117
60747 48300 27
60748 72732 97
60773 70470 17
60952 85458 157
61017 14277 75
61244 98934 144
61273 77884 157
61295 90495 21
61528 3502 17
61609 89934 141
61622 24028 161
61756 25327 15
61797 57565 15
61898 12649 136
61951 9270 116
61957 2622 62
61963 7069 158
61964 6084 80
61991 40237 145
62005 27527 104
62073 61276 83
62085 36566 108
62119 69550 162
62121 48974 171
62122 8493 7
62136 53755 156
62263 18952 78
62511 61194 97
62531 90322 103
62545 64480 67
62673 84157 81
62818 38298 25
62823 73334 124
62950 4646 139
63056 23497 150
63068 35027 81
63075 18613 120
63100 74522 109
63299 89836 75
63449 48790 25
63472 19208 122
63637 74041 114
63718 87406 44
63730 40142 182
63822 22962 98
63862 54734 89
63878 77548 20
63899 94986 123
64202 50016 93
64234 48777 101
64254 59353 113
64290 95432 71
64305 98484 9
64357 93086 1
64374 49916 104
64436 40404 61
64440 65558 5
64442 65334 52
64448 53916 143
64537 13911 150
64581 39408 129
64588 18346 51
64593 53134 3
64636 38565 45
64837 51734 34
64914 89910 45
64985 66254 39
65003 64302 73
65109 33198 79
65134 98770 40
65140 91786 125
65150 69570 48
65151 60578 173
65179 77359 109
65180 11090 49
65211 51421 39
65255 56694 17
65262 51343 90
65294 21040 102
65413 23329 163
65428 4472 72
65435 83594 154
0 0 0 0
1 0 0 0
2 12125 125 3
3 12125 126 4
4 12125 127 5
5 12125 128 6
6 12125 129 7
7 12125 130 8
8 12125 131 9
9 12125 132 10
10 12125 133 11
11 12125 134 12
12 12125 135 1
13 6583 48 81406
14 45846 84 81988
15 0 0 0
16 27504 75 17
17 27504 76 85824
18 34989 112 4004
19 0 0 0
20 56520 41 13064
21 0 0 0
22 17687 98 96758
23 0 0 0
24 6583 125 1348
25 54115 16 45110
26 63068 43 9345
27 29775 98 28
28 29775 99 29
29 29775 100 30
30 29775 101 67602
31 54304 16 32
32 54304 17 33
33 54304 18 34
34 54304 19 35
35 54304 20 36
36 54304 21 37
37 54304 22 38
38 54304 23 39
39 54304 24 40
40 54304 25 90862
41 23859 7 86034
42 42312 68 43
43 42312 69 44
44 42312 70 45
45 42312 71 33157
46 1514 74 53389
47 21494 24 48
48 21494 25 49
49 21494 26 79878
50 23927 82 96442
51 0 0 0
52 61964 5 35182
53 0 0 0
54 65413 92 78200
55 0 0 0
56 0 0 0
57 16152 14 40141
58 0 0 0
59 0 0 0
60 30476 49 59890
61 63056 21 13717
62 7744 22 61129
63 0 0 0
64 25517 19 2032
65 6882 22 66
66 6882 23 67
67 6882 24 59802
68 15095 56 71044
69 3664 100 70
70 3664 101 71
71 3664 102 50108
72 45846 72 57028
73 0 0 0
74 0 0 0
75 0 0 0
76 54691 18 94498
77 13067 66 78
78 13067 67 79
79 13067 68 53010
80 23299 13 67795
81 0 0 0
82 63075 70 44371
83 0 0 0
84 57898 97 93560
85 0 0 0
86 21494 72 87
87 21494 73 64806
88 49565 5 72528
89 0 0 0
90 26698 115 91
91 26698 116 92
92 26698 117 1
93 37548 57 79164
94 65179 29 8293
95 29111 46 96
96 29111 47 97
97 29111 48 98
98 29111 49 99
99 29111 50 80118
100 8438 86 96611
101 41494 92 102
102 41494 93 17995
103 6583 134 25806
104 47115 9 3602
105 57069 61 78706
106 18136 74 83454
107 0 0 0
108 0 0 0
109 5234 35 29886
110 49866 40 77931
111 57069 21 85714
112 55707 9 15794
113 0 0 0
114 63822 10 8349
115 0 0 0
116 12576 27 83989
117 0 0 0
118 21020 46 119
119 21020 47 120
120 21020 48 121
121 21020 49 122
122 21020 50 123
123 21020 51 124
124 21020 52 125
125 21020 53 126
126 21020 54 127
127 21020 55 128
128 21020 56 85793
129 61622 99 92614
130 57847 45 95950
131 8016 106 43596
132 7748 12 91636
133 0 0 0
134 63899 8 95451
135 0 0 0
136 22587 20 32632
137 47867 19 138
138 47867 20 139
139 47867 21 54464
140 1684 32 6320
141 0 0 0
142 53506 134 143
143 53506 135 144
144 53506 136 70957
145 15385 5 65485
146 17382 95 57952
147 0 0 0
148 63472 47 20383
149 0 0 0
150 12831 24 75981
151 0 0 0
152 2420 73 30864
153 30555 57 154
154 30555 58 155
155 30555 59 7252
156 12708 31 38872
157 0 0 0
158 33133 140 159
159 33133 141 160
160 33133 142 161
161 33133 143 82596
162 1148 8 86239
163 41022 62 37244
164 49968 7 19489
165 61957 54 28216
166 56460 71 167
167 56460 72 37380
168 35363 104 4862
169 0 0 0
170 24173 16 56025
171 6882 14 172
172 6882 15 173
173 6882 16 4820
174 48795 115 59724
175 0 0 0
176 0 0 0
177 9754 73 88858
178 0 0 0
179 0 0 0
180 50881 83 35145
181 0 0 0
182 59871 12 71220
183 0 0 0
184 0 0 0
185 56034 69 91359
186 62950 97 6047
187 0 0 0
188 0 0 0
189 44984 92 82125
190 47196 13 191
191 47196 14 192
192 47196 15 193
193 47196 16 194
194 47196 17 195
195 47196 18 196
196 47196 19 197
197 47196 20 198
198 47196 21 199
199 47196 22 200
200 47196 23 66120
201 17885 33 23140
202 0 0 0
203 0 0 0
204 44153 127 92159
205 0 0 0
206 19398 112 207
207 19398 113 208
208 19398 114 209
209 19398 115 210
210 19398 116 211
211 19398 117 212
212 19398 118 213
213 19398 119 214
214 19398 120 215
215 19398 121 15150
216 14824 46 75246
217 0 0 0
218 54115 29 22018
219 5234 78 78541
220 22412 46 15732
221 0 0 0
222 45193 68 91491
223 27332 70 224
224 27332 71 225
225 27332 72 226
226 27332 73 227
227 27332 74 228
228 27332 75 229
229 27332 76 6056
230 61622 63 93641
231 0 0 0
232 18389 68 2764
233 0 0 0
234 47144 61 20228
235 5353 61 78386
236 64537 134 5312
237 0 0 0
238 14824 99 50605
239 0 0 0
240 0 0 0
241 19162 60 27335
242 4708 60 243
243 4708 61 244
244 4708 62 245
245 4708 63 37230
246 58686 16 31996
247 0 0 0
248 0 0 0
249 26895 13 73243
250 17687 112 85953
251 0 0 0
252 64234 51 14583
253 0 0 0
254 33917 84 91078
255 0 0 0
256 7744 149 35158
257 22587 38 70888
258 42550 56 10088
259 0 0 0
260 24173 105 24943
261 0 0 0
262 42041 27 4777
263 17745 77 65626
264 47144 40 39111
265 27504 121 266
266 27504 122 267
267 27504 123 50078
268 4896 134 29287
269 5234 131 52509
270 54115 49 48459
271 0 0 0
272 37858 4 89852
273 0 0 0
274 25933 96 39496
275 29706 18 276
276 29706 19 277
277 29706 20 278
278 29706 21 279
279 29706 22 280
280 29706 23 281
281 29706 24 282
282 29706 25 283
283 29706 26 284
284 29706 27 285
285 29706 28 286
286 29706 29 287
287 29706 30 288
288 29706 31 289
289 29706 32 290
290 29706 33 291
291 29706 34 292
292 29706 35 293
293 29706 36 75356
294 45910 1 85448
295 0 0 0
296 51349 1 297
297 51349 2 298
298 51349 3 299
299 51349 4 300
300 51349 5 301
301 51349 6 302
302 51349 7 303
303 51349 8 304
304 51349 9 305
305 51349 10 306
306 51349 11 307
307 51349 12 308
308 51349 13 309
309 51349 14 310
310 51349 15 311
311 51349 16 312
312 51349 17 313
313 51349 18 314
314 51349 19 315
315 51349 20 316
316 51349 21 317
317 51349 22 318
318 51349 23 319
319 51349 24 320
320 51349 25 321
321 51349 26 322
322 51349 27 323
323 51349 28 324
324 51349 29 325
325 51349 30 326
326 51349 31 327
327 51349 32 328
328 51349 33 329
329 51349 34 330
330 51349 35 331
331 51349 36 332
332 51349 37 333
333 51349 38 334
334 51349 39 335
335 51349 40 336
336 51349 41 337
337 51349 42 338
338 51349 43 339
339 51349 44 340
340 51349 45 341
341 51349 46 78734
342 41824 94 76089
343 0 0 0
344 10458 109 24774
345 0 0 0
346 36393 5 32668
347 0 0 0
348 31705 56 1
349 43010 61 59008
350 0 0 0
351 50129 7 12248
352 61951 108 353
353 61951 109 354
354 61951 110 355
355 61951 111 356
356 61951 112 357
357 61951 113 358
358 61951 114 359
359 61951 115 360
360 61951 116 1
361 0 0 0
362 0 0 0
363 30667 9 1
364 30625 68 7255
365 0 0 0
366 55855 37 35670
367 64436 45 30120
368 0 0 0
369 0 0 0
370 43010 40 62555
371 62818 18 65826
372 49138 62 41418
373 55855 15 2308
374 0 0 0
375 0 0 0
376 55855 71 538
377 0 0 0
378 26221 36 379
379 26221 37 4791
380 58686 8 82540
381 42503 69 40901
382 0 0 0
383 21494 135 384
384 21494 136 385
385 21494 137 16148
386 41824 111 16279
387 0 0 0
388 0 0 0
389 62005 88 87053
390 49968 115 47800
391 0 0 0
392 20612 1 393
393 20612 2 394
394 20612 3 395
395 20612 4 396
396 20612 5 397
397 20612 6 398
398 20612 7 399
399 20612 8 400
400 20612 9 401
401 20612 10 402
402 20612 11 8219
403 45646 79 404
404 45646 80 405
405 45646 81 406
406 45646 82 407
407 45646 83 408
408 45646 84 409
409 45646 85 410
410 45646 86 411
411 45646 87 412
412 45646 88 413
413 45646 89 414
414 45646 90 415
415 45646 91 416
416 45646 92 69302
417 22658 1 418
418 22658 2 419
419 22658 3 420
420 22658 4 421
421 22658 5 422
422 22658 6 423
423 22658 7 424
424 22658 8 425
425 22658 9 426
426 22658 10 427
427 22658 11 428
428 22658 12 429
429 22658 13 430
430 22658 14 431
431 22658 15 432
432 22658 16 433
433 22658 17 434
434 22658 18 435
435 22658 19 436
436 22658 20 437
437 22658 21 438
438 22658 22 439
439 22658 23 440
440 22658 24 441
441 22658 25 442
442 22658 26 443
443 22658 27 444
444 22658 28 445
445 22658 29 446
446 22658 30 447
447 22658 31 448
448 22658 32 449
449 22658 33 450
450 22658 34 451
451 22658 35 452
452 22658 36 453
453 22658 37 454
454 22658 38 455
455 22658 39 456
456 22658 40 457
457 22658 41 458
458 22658 42 459
459 22658 43 460
460 22658 44 461
461 22658 45 462
462 22658 46 463
463 22658 47 464
464 22658 48 465
465 22658 49 466
466 22658 50 467
467 22658 51 3345
468 45910 78 16452
469 0 0 0
470 0 0 0
471 54691 4 13672
472 30756 48 85488
473 0 0 0
474 62823 15 475
475 62823 16 476
476 62823 17 35474
477 2398 58 40706
478 2145 1 4238
479 0 0 0
480 950 75 481
481 950 76 482
482 950 77 483
483 950 78 484
484 950 79 485
485 950 80 79177
486 12831 2 54642
487 0 0 0
488 64254 13 489
489 64254 14 490
490 64254 15 32662
491 26592 27 492
492 26592 28 493
493 26592 29 12336
494 39099 135 65838
495 63056 27 64735
496 40032 1 65234
497 17382 84 81080
498 12576 39 36802
499 28837 3 500
500 28837 4 501
501 28837 5 53647
502 20948 17 503
503 20948 18 504
504 20948 19 505
505 20948 20 506
506 20948 21 507
507 20948 22 12361
508 40006 74 5218
509 0 0 0
510 5586 5 46194
511 32571 122 10384
512 30756 19 51708
513 35914 20 15401
514 61991 46 52239
515 0 0 0
516 55001 129 517
517 55001 130 1
518 8016 15 76420
519 0 0 0
520 0 0 0
521 0 0 0
522 30833 43 49820
523 0 0 0
524 30625 32 65652
525 0 0 0
526 40551 7 527
527 40551 8 528
528 40551 9 97288
529 13625 128 93474
530 25517 38 15741
531 12470 69 41574
532 35862 1 533
533 35862 2 534
534 35862 3 535
535 35862 4 536
536 35862 5 537
537 35862 6 43852
538 55855 72 7712
539 0 0 0
540 3664 180 541
541 3664 181 1
542 40006 103 74324
543 0 0 0
544 7744 53 22330
545 0 0 0
546 62511 12 76222
547 13625 60 26256
548 48746 26 549
549 48746 27 550
550 48746 28 551
551 48746 29 552
552 48746 30 553
553 48746 31 554
554 48746 32 555
555 48746 33 556
556 48746 34 557
557 48746 35 558
558 48746 36 559
559 48746 37 560
560 48746 38 561
561 48746 39 47611
562 45846 60 72825
563 0 0 0
564 62823 117 565
565 62823 118 79168
566 65413 149 20193
567 0 0 0
568 38282 26 569
569 38282 27 71679
570 65179 17 90916
571 0 0 0
572 61273 46 573
573 61273 47 574
574 61273 48 575
575 61273 49 576
576 61273 50 577
577 61273 51 578
578 61273 52 90586
579 22502 15 83672
580 63472 64 54430
581 57847 36 22357
582 24197 125 50578
583 25517 50 36662
584 54691 51 23932
585 65180 8 14906
586 7748 47 71707
587 0 0 0
588 32777 95 10312
589 0 0 0
590 467 4 591
591 467 5 592
592 467 6 593
593 467 7 77273
594 50881 149 5861
595 12736 46 66098
596 31298 93 23304
597 58686 98 31224
598 0 0 0
599 0 0 0
600 11214 72 96716
601 914 169 28433
602 0 0 0
603 3856 59 25175
604 0 0 0
605 62950 32 41056
606 49394 106 607
607 49394 107 608
608 49394 108 609
609 49394 109 610
610 49394 110 611
611 49394 111 612
612 49394 112 44283
613 49866 9 79616
614 13625 73 58208
615 31298 101 24058
616 11214 85 1150
617 40271 118 618
618 40271 119 619
619 40271 120 620
620 40271 121 621
621 40271 122 39372
622 35363 27 80358
623 0 0 0
624 5234 73 96768
625 988 35 6934
626 0 0 0
627 0 0 0
628 44153 151 85734
629 0 0 0
630 63075 83 70048
631 47600 22 95060
632 5574 1 633
633 5574 2 634
634 5574 3 635
635 5574 4 636
636 5574 5 637
637 5574 6 638
638 5574 7 639
639 5574 8 640
640 5574 9 641
641 5574 10 642
642 5574 11 643
643 5574 12 644
644 5574 13 645
645 5574 14 646
646 5574 15 647
647 5574 16 648
648 5574 17 649
649 5574 18 4297
650 49138 74 74778
651 42865 23 1
652 52583 2 42377
653 45846 95 53702
654 23927 90 13048
655 2398 41 80957
